time,step,number,surface,latitude,longitude,valid_time,tp,actual_latitude,actual_longitude,target_latitude,target_longitude
2022-01-06 06:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-06 14:00:00,3.6507845e-05,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-06 13:00:00,1.8030405e-06,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-06 12:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-06 11:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-06 10:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-06 09:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-06 08:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 06:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-06 07:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-07 05:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-07 04:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-07 03:00:00,2.9802322e-07,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-07 02:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-07 01:00:00,9.536743e-07,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-07 06:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-06 23:00:00,1.8686056e-05,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-06 22:00:00,6.277114e-05,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-06 21:00:00,0.00027921796,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-06 20:00:00,0.00033050776,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-06 19:00:00,0.0002683699,51.6,-0.2,51.5074,-0.1278
2022-01-06 18:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-07 00:00:00,1.3738871e-05,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-07 18:00:00,4.4703484e-06,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-07 17:00:00,3.993511e-06,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-07 16:00:00,7.033348e-06,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-07 15:00:00,9.536743e-07,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-07 14:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-07 13:00:00,1.8104911e-06,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-07 12:00:00,2.2873282e-06,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-07 11:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-07 10:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-07 09:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-07 08:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 06:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-07 07:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-08 05:00:00,0.00020247698,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-08 04:00:00,0.00016391277,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-08 03:00:00,2.8133392e-05,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-08 02:00:00,3.5762787e-07,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-08 01:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-08 06:00:00,4.7683716e-05,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-07 23:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-07 22:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-07 18:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-07 21:00:00,8.940697e-08,51.6,-0.2,51.5074,-0.1278
